,0,1,2,3,4,5,6,7,8,9,10,11
BG_2010,1.87901612903,4.33086607143,4.65025806452,5.80706666667,2.0514516129,2.27190833333,2.25047580645,0.679411290323,0.457075,1.37495967742,2.301225,3.76228225806
BG_2011,1.81132258065,1.28474107143,2.45013709677,3.59231666667,3.25112903226,2.21551666667,0.963362903226,1.32138709677,0.484133333333,1.01726612903,0.440491666667,0.402201612903
BG_2012,1.90789516129,3.9995862069,6.53855645161,7.05266666667,9.44712096774,4.95935,1.391,0.875524193548,0.835091666667,1.23739516129,1.470975,2.14904032258
NL_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL_2009,606.453610307,755.169982993,1031.64900154,803.628333333,617.589016897,549.557142857,622.921658986,471.869431644,324.992896825,327.968772402,493.180687831,845.797235023
NL_2010,855.667151751,836.782312925,955.453149002,617.936507937,537.202764977,656.779365079,449.205222734,706.983102919,668.936507936,478.944700461,797.561998133,1039.31336406
NL_2011,1715.88064516,779.4375,510.448387097,385.382280702,300.322000566,374.765,490.619298246,518.708064516,429.576851852,430.504251972,303.082923977,904.543899181
NL_2012,1529.46977929,695.463793103,563.925806452,522.618333333,652.835483871,702.826666667,708.877419355,415.520203735,455.997373581,630.614516129,686.571666667,1273.65286738
GR_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR_2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR_2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR_2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR_2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS_2009,85.7438738036,109.274868132,163.297753633,174.341631502,106.712425381,98.8616501831,139.425671748,74.5887656859,62.3083776557,60.7057731301,88.9030347985,104.471637363
RS_2010,125.49261689,116.56145947,144.670222182,126.753244569,114.691320044,155.028465543,86.1838698804,67.6408876404,64.4076977528,60.2684559623,77.8127846442,144.263846684
RS_2011,109.497015361,75.2692138605,79.6412784178,67.4496892857,61.4100971582,52.5081436508,47.3015725807,45.5108256528,29.2954130952,35.11659447,29.4504404762,36.5755280338
RS_2012,334.319650538,331.167097701,550.667930108,563.595277778,557.515053763,496.439388889,286.179892473,209.180564516,233.220916667,235.097715054,352.087,385.989005376
EE_2008,12.6115982405,16.5830407523,17.6820821114,17.1340757576,6.25407478006,4.65983939394,4.77995014663,10.9967683284,14.0048484848,12.1913929619,20.0493333333,24.3256682028
